id;title;description;audience;level;language;date;start_time;end_time;event_type
1;uh-huh although;between brr;defy engender;apropos;ENGLISH;2024-08-04T14:26:38;2024-08-04T11:05:35;2024-08-04T20:22:54;PRESENTATION
2;briskly;ew;locomotive wolf lest;geez;FRENCH;2024-08-04T06:12:08;2024-08-04T08:42:59;2024-08-04T17:03:15;PRESENTATION
3;abaft;target how;knottily modulo;following meh past;SPANISH;2024-08-04T15:35:56;2024-08-04T12:30:09;2024-08-04T05:09:43;PRESENTATION
4;pfft tired;however;kindly;consequently cautiously upload;SPANISH;2024-08-04T20:46:32;2024-08-04T21:16:41;2024-08-04T03:32:18;PRESENTATION
5;accidentally;who;proper bah duh;pin;ENGLISH;2024-08-04T03:46:56;2024-08-04T15:04:33;2024-08-04T23:42:30;SESSION
6;patronise although um;hmph until modulo;lovingly out;whoever discussion;SPANISH;2024-08-04T13:47:58;2024-08-04T09:30:25;2024-08-04T04:39:00;PRESENTATION
7;bulky;in;zowie fuzzy which;lance warm;ENGLISH;2024-08-04T13:42:33;2024-08-04T17:05:17;2024-08-04T20:13:53;DISCUSSION
8;brr;unlike unto unwieldy;meh wear;unlined aha brood;FRENCH;2024-08-04T01:19:14;2024-08-04T07:29:41;2024-08-04T07:17:13;DISCUSSION
9;geez;phooey as;on quietly;giant till;SPANISH;2024-08-04T08:21:56;2024-08-04T12:48:44;2024-08-04T17:42:42;DISCUSSION
10;backpack championship for;cart;following;ick softly wetly;SPANISH;2024-08-04T07:36:18;2024-08-04T16:22:36;2024-08-04T16:45:06;SESSION
