id;street_address;postal_code;city;state_province;country_name;region
1;like;indeed big-hearted so;Port Tellyburgh;project affectionate;inasmuch but delayed;LATAM
2;overpower close;upwardly alongside prospect;West Joshualand;likewise and;geez timely;APAC
3;though tyrannize;loosely;Lake Jaunita;swiftly;hmph cycle;LATAM
4;whose how;lest whose fooey;Philadelphia;till;threadbare till;LATAM
5;hmph;instead;Fort Claude;briskly bonfire masticate;pleasing continually miter;NA
6;next;phooey;Fort Joanburgh;gee good-natured;mockingly duh;ANZ
7;down altruistic;lawful;West Bernie;warrant boo;windy over;APAC
8;barren;even;Fort Evangelineworth;so boo pigsty;wrathful sheepishly foolishly;NA
9;plunge noisily;quicker subside however;Kertzmannview;round;alarming meh doubt;LATAM
10;vacantly toast;whether;East Hartford;pish;woot clinking;EMEA
